longitude	latitude
-0.10454598	51.49961
-0.10265927	51.49252
-0.09673900	51.49471
-0.09962462	51.49227
-0.10077534	51.50075
-0.10107348	51.49606
-0.10093267	51.49969
-0.09830018	51.49769
-0.09135718	51.49779
-0.10021148	51.48942
-0.13950897	51.50026
-0.14403082	51.50335
-0.14360722	51.49847
-0.13717480	51.50633
-0.14088439	51.49615
-0.14272376	51.49945
-0.14338093	51.50676
-0.13698969	51.49773
-0.13837667	51.49887
-0.13829729	51.49748
-0.07738584	51.51376
-0.08187439	51.52045
-0.07383104	51.52138
-0.07441181	51.51443
-0.07578336	51.52124
-0.07621939	51.50882
-0.08104670	51.51255
-0.11005299	51.51448
-0.10660084	51.52189
-0.10510403	51.52188
-0.10193424	51.51523
-0.06837521	51.48367
-0.07586072	51.48852
-0.07915374	51.48684
-0.08796437	51.48845
